,ref_id,userId,id,title,price,type,sq_feet,availability,avdate,location,thumb,thumb2,slide,link,latitude,longitude,marker,address,address_hidden,city,province,intro,community,quadrant,phone,phone_2,preferred_contact,website,email,smoking,lease_term,garage_size,status,book_tour,v,s,f,bedrooms,den,baths,cats,dogs,utilities_included,features
10,533573,1863869,533573,730 St. Clarens,1475 - 2300,Apartment,"230, 640",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/533573/thumber_11119010.v.2e334f4981721ce06151581a0292242d.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/533573/thumber_11119010.v.2e334f4981721ce06151581a0292242d.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/533573/slide_11119010.v.2e334f4981721ce06151581a0292242d.jpg,/on/toronto/rentals/apartment/2-bedrooms/pet-friendly/533573,43.667254400000,-79.445706700000,3d8076c35e6c1748a94a1bd95bba22d7,730 St. Clarens Avenue ,False,Toronto,Ontario,730 St. Clarens Avenue ,,,3656543929,,Phone||Text||Email,https://rent.akelius.com/en/search/canada/apartment/toronto,1,,Long Term,covered,active,,3,RSYNC,2,studio - 2,No,1,True,True,"['Heat', 'Water']","['Elevator', 'Laundry - Shared', 'Fridge', 'Oven/Stove']"
11,542973,1343758,542973,The Ivy,2526 - 5059,Apartment,"453, 463, 534, 606, 622, 689, 745, 888, 799",Immediate,"Immediate, December 07, January 07",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/542973/thumber_11149879.v.f63f0b2e45ba69e3b73d6cc6222ea3f6.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/542973/thumber_11149879.v.f63f0b2e45ba69e3b73d6cc6222ea3f6.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/542973/slide_11149879.v.f63f0b2e45ba69e3b73d6cc6222ea3f6.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/542973,43.666902900000,-79.384866900000,9c09d167edeb5b4df438e2df4fc4478e,8 Gloucester Street,False,Toronto,Ontario,8 Gloucester Street,,,3658045297,,Phone||Text||Email,https://triconresidential.com/apartment/the-ivy/?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=The%20Ivy,1,,Long Term,underground,active,,3,RSYNC,2,1 - 3,No,1 - 2,True,True,False,"['Elevator', 'Zero-Step Entrance', 'Fridge', 'Oven/Stove']"
12,558183,92212,558183,Your New Home Awaits,2395 - 5300,Apartment,"570, 685, 691, 1189",Immediate,"Immediate, January 01",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/558183/thumber_11319474.v.636038908fe7f890de2bbf8f6c15d305.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/558183/thumber_11319474.v.636038908fe7f890de2bbf8f6c15d305.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/558183/slide_11319474.v.636038908fe7f890de2bbf8f6c15d305.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/558183,43.658277000000,-79.386079000000,9366fb411e193ac09080635734ad47a0,77 & 99 Gerrard Street West,False,Toronto,Ontario,77 & 99 Gerrard Street West,,,3653607501,,Phone||Text||Email,https://www.gerrardwest.com/?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=Gerrard%20West,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,1 - 3,"No, Yes",1 - 2,True,True,False,"['Elevator', 'Laundry - Shared', 'Storage Lockers', 'Zero-Step Entrance']"
13,583788,2101856,583788,,2295 - 2595,Apartment,"704, 650, 553, 675, 701, 720, 700, 710",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/583788/thumber_10712916.v.e10e3c8705ddc1b3c662f184140128b7.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/583788/thumber_10712916.v.e10e3c8705ddc1b3c662f184140128b7.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/583788/slide_10712916.v.e10e3c8705ddc1b3c662f184140128b7.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/583788,43.701818747927,-79.420543755939,3922f19c272b90d78b466056854db93d,697-701 Eglinton Avenue West,False,Toronto,Ontario,697-701 Eglinton Avenue West,,,3653607355,,Phone||Text||Email,,1,Non-Smoking,Long Term,"underground, covered, street parking",active,,3,RSYNC,2,1 - 2,"No, Yes",1,True,True,False,"['Laundry - Shared', 'Storage Lockers', 'Air Conditioning', 'Fridge']"
14,529183,1828544,529183,Welcome to The Fairbank: Liberating Rental Living in Eglinton West,1999 - 3699,Apartment,"862, 569, 788, 759, 566, 535, 563, 909, 889, 604, 531, 547, 567, 876, 602, 802, 1021, 811, 805, 536, 806, 632, 560, 556",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/529183/thumber_11107847.v.8f6e8e18fd827959337ef1f24b2769b6.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/529183/thumber_11107847.v.8f6e8e18fd827959337ef1f24b2769b6.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/529183/slide_11107847.v.8f6e8e18fd827959337ef1f24b2769b6.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/529183,43.692887684304,-79.463347995950,b0006599bbc448f5695b56c24f087629,9 Croham Road,False,Toronto,Ontario,9 Croham Road,,,8557581764,,Phone||Text||Email,http://www.thefairbank.ca,1,Non-Smoking,Long Term,underground,active,https://tourswidget.rentsync.com?buildingId=268592&source=syndication&fullSource=rentals_infinity&isRentalsBundle=1,3,RSYNC,2,1 - 3,No,1 - 2,True,True,False,"['Air Conditioning', 'Microwave', 'Window Coverings', 'Fridge']"
15,523076,1776878,523076,LNX,2440 - 3530,Apartment,"665, 661, 832, 651, 568, 580, 744, 680, 668, 517, 829, 577, 553, 556, 738, 674, 778, 544, 637",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/523076/thumber_9853245.v.1458c626a3868a13e881edc4bc42a895.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/523076/thumber_9853245.v.1458c626a3868a13e881edc4bc42a895.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/523076/slide_9853245.v.1458c626a3868a13e881edc4bc42a895.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/523076,43.657960500000,-79.451841800000,e7c91e1baaac34620ea474f029a14412,2376 Dundas Street West,False,Toronto,Ontario,2376 Dundas Street West,,,2893075247,,Phone||Text||Email,http://www.lnxrentals.com,1,Smoke Free Building,Long Term,,active,https://tourswidget.rentsync.com?buildingId=245251&source=syndication&fullSource=rentals_infinity&isRentalsBundle=1,3,RSYNC,2,1 - 2,"No, Yes",1 - 2,True,True,False,['Storage Lockers']
16,561221,1519125,561221,Valencia Towers,2709 - 3399,Apartment,"1009, 1244",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/561221/thumber_11350958.v.2f1b8e38f2809790517ef932405391bd.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/561221/thumber_11350958.v.2f1b8e38f2809790517ef932405391bd.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/561221/slide_11350958.v.2f1b8e38f2809790517ef932405391bd.jpg,/on/toronto/rentals/apartment/2-bedrooms/pet-friendly/561221,43.787847400000,-79.447796100000,fcf35f3438ea8b1cd7cebe4e4fad56d0,6020 Bathurst Street,False,Toronto,Ontario,6020 Bathurst Street,,,3656546895,,Phone||Text||Email,https://hazelview.rhenti.com/#/property/65f1b4b6aaa988002e9291a4?channel=hazelview,1,Non-Smoking,Long Term,,active,,3,RSYNC,2,2 - 3,No,1 - 2,True,True,False,"['Elevator', 'Fridge', 'Dishwasher']"
17,461351,64025,461351,Waverley,2975 - 5775,Apartment,"617, 1392, 1172, 544, 535, 815, 600, 529",Immediate,"Immediate, January 05, November 25, December 27",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/461351/thumber_11311739.v.b84b2bbe782ea64b082eb5575e167b41.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/461351/thumber_11311739.v.b84b2bbe782ea64b082eb5575e167b41.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/461351/slide_11311739.v.b84b2bbe782ea64b082eb5575e167b41.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/461351,43.658334900000,-79.400468500000,7a012e7d71efad2b3bf294d190720906,484 Spadina Ave,False,Toronto,Ontario,484 Spadina Ave,,,3656546599,,Phone||Text||Email,https://www.waverleylife.ca/?utm_knock=rentalsca,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,1 - 3,"No, Yes",1 - 2,True,True,['Internet'],"['Elevator', 'Storage Lockers', 'Zero-Step Entrance', 'Fridge']"
18,561293,440492,561293,Urban Living Near The Danforth! ,2170 - 4100,Apartment,"610, 738, 543, 655, 654, 1128, 1220, 1077, 553, 612, 614, 1072, 1082, 1279, 1293, 1306",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/561293/thumber_11356883.v.241ff1a3b15160f344690d072f1a17af.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/561293/thumber_11356883.v.241ff1a3b15160f344690d072f1a17af.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/561293/slide_11356883.v.241ff1a3b15160f344690d072f1a17af.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/561293,43.695017600000,-79.301714500000,2043569fc4114ddaecab3d97cf47824c,94 Eastdale Avenue,False,Toronto,Ontario,94 Eastdale Avenue,,,2895364916,,Phone||Text||Email,https://belasquare.ca/?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=Bela%20Square,1,Non-Smoking,Long Term,covered,active,,3,RSYNC,2,1 - 4,"No, Yes",1 - 3,True,True,False,"['Elevator', 'Fridge', 'Laundry - In Suite', 'Balcony']"
19,500907,1507540,500907,Aberdeen on The Kingsway,2675 - 3750,Apartment,"620, 617, 653, 651, 767",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/500907/thumber_9218084.v.ac67d5798d8c01ddf684524607bcb02a.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/500907/thumber_9218084.v.ac67d5798d8c01ddf684524607bcb02a.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/500907/slide_9218084.v.ac67d5798d8c01ddf684524607bcb02a.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/500907,43.663908100000,-79.520679300000,d0b6002fb637c27673f9e0d8cfdad001,299 The Kingsway,False,Toronto,Ontario,299 The Kingsway,,,6474929731,,Phone||Text||Email,https://aberdeenonthekingsway.com/,1,Non-Smoking,Long Term,"underground, covered",active,,3,RSYNC,2,1 - 2,"Yes, No",1 - 2,True,True,False,"['Elevator', 'Storage Lockers', 'Zero-Step Entrance', 'Fridge']"
20,558021,1519125,558021,Tichester Park Manors,1969 - 2339,Apartment,"628, 670",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/558021/thumber_11344229.v.d4137e22f33022841c1cda76fa5c18a2.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/558021/thumber_11344229.v.d4137e22f33022841c1cda76fa5c18a2.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/558021/slide_11344229.v.d4137e22f33022841c1cda76fa5c18a2.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/558021,43.685624500000,-79.418870300000,80b676cc83ec02796a13c4d861760553,1531 Bathurst Street,False,Toronto,Ontario,1531 Bathurst Street,,,2892169178,,Phone||Text||Email,https://hazelview.rhenti.com/#/property/65089ad969c935002ebc0ffb?channel=hazelview,1,Non-Smoking,Long Term,,active,,3,RSYNC,2,studio - 1,No,1,True,True,False,"['Storage Lockers', 'Dishwasher']"
